Registrant Name,Sector,Amount
Entergy Nuclear Vermont Yankee,Energy,2021374.21
Vermont Association of Hospitals & Health Systems (VAHHS),Health Care,1769738.4599999997
American Beverage Association,Business,1734647.2300000002
Vermont Public Interest Research Group,Government & Public Affairs,1637251.5799999994
Vermont State Employees Association VSEA,Labor Unions,1202959.6199999999
Green Mountain Power,Energy,979990.3900000002
AARP,Elderly,731925.2500000001
Beverage Association of Vermont,Non-alcoholic beverages,678525.9400000001
Rutland Regional Medical Center,Health Care,663836.0099999997
AT&T,Telecommunications,573231.87
Blue Cross and Blue Shield of Vermont,Health Care,554926.4700000001
Comcast,Telecommunications,540301.54
Association of Vermont Credit Unions,Bank & Finance,525070.6399999999
Vermont League of Cities and Towns,Government & Public Affairs,521846.3300000001
Vermont Energy Investment Corp. (VEIC),Energy,501176.21000000014
Bi-State Primary Care Association,Health Care,495952.9200000002
Vermont Medical Society,Health Care,494049.1300000001
Velco,Energy,476554.7100000001
"VISA, Inc.",Bank & Finance,475150.0
Vermont Home and Community Care,Health Care,461626.10000000003
New England Cable and Telecommunications Association,Telecommunications,454985.33
Patient Choices at End of Life - Vermont,Health Care,449694.12
Vermont Wholesale Beverage Association,Alcohol,441237.38999999996
Marijuana Policy Project,Marijuana,428824.73
Lake Champlain Regional Chamber of Commerce,Business,423580.27
Anheuser-Busch Companies,Alcohol,422439.5700000002
Casella Waste Management,Environment,419176.24
"Omya, Inc",Environment,414667.33999999997
Vermont State Dental Society,Health Care,413501.07999999996
Renewable Energy Vermont,Energy,400364.06000000006
Vermont Health Care Association,Health Care,388515.03
Vermont Association for Justice,Civil & Criminal Justice,375252.0
Pharmaceutical Research and Manufacturers of America,Pharmaceuticals,368961.30999999994
Delta Dental Plan of Vermont,Health Care,368887.27
Verizon,Telecommunications,367335.7899999999
America's Health Insurance Plans,Health Care,362013.2900000001
Vermont Chamber of Commerce,Business,356522.23000000004
RAI Services,Tobacco,355950.37999999995
Vermont-NEA,Education,338264.63999999996
Campaign for Vermont Prosperity,Government & Public Affairs,332830.63
St. Johnsbury Academy,Education,332262.6499999999
The University of Vermont Health Network,Health Care,330602.75
Pfizer Inc.,Pharmaceuticals,325138.45
Vermont Housing & Conversation Coalition,Housing,322676.7200000002
Vermont Chiropractic Association,Health Care,320461.0
"Vermont Bankers Association, Inc",Bank & Finance,315978.1
Vermont Electric Cooperative,Energy,309446.37999999995
Vermont Optometric Association,Health Care,301931.91
"Optum, Inc.",Health Care,282500.71
Vermont Student Assistance Corporation,Education,272202.77
Vermont Land Trust,Environment,270979.69000000006
Dartmouth Hitchcock Medical Center,Health Care,270000.0
American Insurance Association,Insurance,263137.42
Vermont Gas Systems,Energy,262525.87
Brattleboro Retreat,Health Care,261236.25
American Petroleum Institute,Energy,260073.0
Vermont Association of Planning & Development Agencies,Government & Public Affairs,252470.0
"Johnson & Johnson Services, Inc.",Pharmaceuticals,250021.84000000003
American Heart Association,Health Care,249441.54
Railroad Association of Vermont,Transportation,248548.6
Associated Industries of Vermont,Business,241026.30000000002
Vermont Businesses for Social Responsibility,Business,238510.0
City of Burlington,Government & Public Affairs,236906.93
Personal Care Products Council,Retail,236861.24000000002
Vermont Independent Schools Association,Education,236577.26
Express Scripts Inc.,Pharmaceuticals,236247.72999999998
Vermont Realtors,Real Estate,230706.09999999998
Toy Industry Association,Toys,228350.42
"Intralot, Inc.",Gaming,228189.83
United Profession/AFT Vermont,Labor Unions,227148.76
Alliance of Automobile Manufacturers,Transportation,226399.09
American Cancer Society Cancer Action Network,Health Care,223762.97
"American International Group, Inc.",Insurance,223209.99
Vermont Association of Chain Drug Stores,Pharmaceuticals,222300.0
Green Mountain Dairy Farmers,Agriculture ,221912.26
MVP Health Care Inc.,Health Care,221233.0
"Consolidated Communications, Inc.",Telecommunications,218789.33000000002
Mylan Inc.,Health Care,216875.0
Let's Grow Kids,Children & Youth,216452.98
National Shooting Sports Foundation (NSSF),Gun,211254.0
Vermont Alliance for Ethical Healthcare,Health Care,207738.25
Biotechnology Industry Organization,Health Care,202995.56999999983
Vermont Law School,Education,198694.32000000004
Vermont Captive Insurance Association,Insurance,198481.0
Global Foundries US,Manufacturing,196305.0
CVS,Pharmaceuticals,196280.84
The Humane Society of the United States,Environment,196070.99
State Farm Insurance Companies,Insurance,191697.16999999998
American Chemistry Council,Pharmaceuticals,191228.89
Vermont Natural Resources Council,Energy,185012.86
"MasterCard International, Inc",Bank & Finance,184838.34999999998
Vermont Solid Waste District Manager's Association,Environment,182750.0
FedEx Corporation,Transportation,178867.0
Eversource Energy Services Company,Energy,172411.0
Vermont Truck & Bus Association,Transportation,171356.0
Vermont School Boards Association,Education,166242.03999999992
Vermont Retired State Employees Association,Elderly,163237.28
Conservation Law Foundation,Environment,162603.17999999996
Vermont Fuel Dealers Association,Energy,162420.49
AFT Vermont,Health Care,161442.70000000004
"MVP Health Plan, Inc.",Health Care,158010.29
Property Casualty Insurers Association of America,Insurance,157509.88
Gunsense Vermont,Gun,154402.07
Vermont Association of Snow Travelers,Ski Industry,154018.0
United Nurses & Allied Professionals,Labor Unions,153416.76
"Oracle America, Inc.",Telecommunications,153230.0
Burr and Burton Academy,Education,148800.0
Wine Institute,Alcohol,148000.0
Vermont Petroleum Association,Energy,147159.74
Hewlett Packard Company,Manufacturing,144434.39
Vermont Bar Association,Civil & Criminal Justice,143856.7
"DISH Network, LLC",Telecommunications,142180.06999999998
First Wind Energy,Energy,142100.0
Working Vermont,Labor Unions,140400.0
Vermont Association of Public Housing Directors,Housing,138600.0
Connecticut Attorneys Title Company,Real Estate,138537.0
Drug Policy Alliance,Civil & Criminal Justice,137083.37000000002
Springfield Hospital,Health Care,136274.0
"Preservation Trust of Vermont, Inc.",Environment,136083.11
Dominion Diagnostics,Health Care,135000.0
Town of Dover,Government & Public Affairs,133624.4
Gifford Medical Center,Health Care,133429.0
Vermont Association of Realtors,Real Estate,132977.74
The Sharon Academy,Education,131777.62
Health First,Health Care,131499.97999999998
Copley Hospital,Health Care,130758.0
Vermont Council Developmental & Mental Health Services,Health Care,129407.81000000001
Vermont Superintendents Association,Education,128965.46999999999
Vermont Farm Bureau,Agriculture ,128886.47
Apple Inc.,Business,126784.3
Vermont Public Power Supply Authority,Energy,126149.0
Vermont Dairy Producers Alliance,Agriculture ,125937.0
American Express,Bank & Finance,125630.9
"Vermont Legal Aid, Inc.",Civil & Criminal Justice,125257.4
Community of Vermont Elders,Elderly,125017.74
BAYADA Home Health Care,Health Care,124229.6
Everytown for Gun Safety Action Fund,Gun,124180.43
Biotechnology Industry Organization,Pharmaceuticals,123382.0
"Vermont Parent Child Center, Inc.",Children & Youth,121452.13
Vermont Ski Areas Association,Ski Industry,120821.82
Vermont State Colleges,Education,120453.77
DirecTV,Telecommunications,118316.31
"Exeter Group, Inc.",Telecommunications,117718.75
Vermont Apartment Owners Association,Real Estate,116600.42000000001
Vermont Information Consortium,Telecommunications,115855.53
National Grid,Energy,114914.06000000001
"Internet Coalition, Inc.",Telecommunications,113892.25000000001
Procter & Gamble,Manufacturing,113383.45
National Federation of Independent Business,Business,112553.75
"Stantec Consulting Services, Inc.",Education,111725.0
Planned Parenthood,Health Care,110117.57
"Asurion, LLC",Insurance,109538.0
Cigna,Health Care,109500.0
Vermont Community Loan Fund,Children & Youth,109036.98000000001
GBIC,Labor Unions,108147.98
American Council for an Energy Efficient Economy,Energy,106818.89000000001
