bill,year,date_intro,title,act,sector
H.522,2017,4/7/17,An act relating to approval of amendments to the charter of the City of Burlington,M-9,Government & Public Affairs
H.493,2012,1/5/12,An act relating to approval of amendments to the charter of the city of South Burlington,M-9,Government & Public Affairs
H.534,2013,4/4/13,An act relating to approval of amendments to the charter of the City of Winooski,M-9,Government & Public Affairs
H.494,2015,3/27/15,An act relating to approval of the adoption and codification of the charter of the Town of Weybridge,M-9,Government & Public Affairs
H.460,2011,5/3/11,An act relating to amending the charter of the city of Barre,M-8,Government & Public Affairs
H.356,2017,2/21/17,An act relating to approval of amendments to the charter of the Town of Berlin,M-8,Government & Public Affairs
H.504,2015,4/21/15,An act relating to approval of the adoption and codification of the charter of the Town of Waitsfield,M-8,Government & Public Affairs
H.535,2013,4/10/13,An act relating to the approval of the adoption and to the codification of the charter of the Town of Woodford,M-8,Government & Public Affairs
H.451,2011,4/8/11,An act relating to amending the charter of the town of Shelburne,M-7,Government & Public Affairs
H.503,2015,4/17/15,An act relating to approval of amendments to the charter of the City of Burlington,M-7,Government & Public Affairs
H.154,2017,1/31/17,An act relating to approval of amendments to the charter of the City of Burlington and to charter amendment procedure,M-7,Government & Public Affairs
H.537,2013,4/16/13,An act relating to approval of amendments to the charter of the Town of Brattleboro,M-7,Government & Public Affairs
H.130,2017,1/26/17,An act relating to approval of amendments to the charter of the Town of Hartford,M-6,Government & Public Affairs
H.541,2013,5/1/13,An act relating to approval of amendments to the charter of the Village of Essex Junction,M-6,Government & Public Affairs
H.496,2015,4/2/15,An act relating to approval of the adoption and codification of the charter of the Town of West Fairlee,M-6,Government & Public Affairs
H.294,2011,2/22/11,An act relating to approving amendments to the charter of the city of Montpelier,M-6,Government & Public Affairs
H.442,2011,3/23/11,An act relating to amending the charter of the city of Rutland,M-5,Government & Public Affairs
H.512,2013,3/14/13,An act relating to approval of amendments to the charter of the City of Barre,M-5,Government & Public Affairs
H.536,2017,4/18/17,An act relating to approval of amendments to the charter of the Town of Colchester,M-5,Government & Public Affairs
H.478,2015,3/12/15,An act relating to approval of the adoption and codification of the charter of the Town of Royalton,M-5,Government & Public Affairs
H.444,2011,3/29/11,An act relating to approval of amendments to the charter of the city of Burlington,M-4,Government & Public Affairs
H.524,2017,4/11/17,An act relating to approval of amendments to the charter of the Town of Hartford,M-4,Government & Public Affairs
H.525,2013,3/21/13,An act relating to approval of amendments to the charter of the Town of Stowe,M-4,Government & Public Affairs
H.268,2015,2/20/15,An act relating to approval of the adoption and the codification of the charter of the Town of Franklin and of the merger of Franklin Fire District No. 1 into the Town,M-4,Government & Public Affairs
H.335,2011,2/25/11,An act relating to amending the charter of the town of Barre,M-3,Government & Public Affairs
H.194,2015,2/11/15,An act relating to approval of amendments to the charter of the Town of St. Johnsbury,M-3,Government & Public Affairs
H.520,2017,3/31/17,An act relating to approval of amendments to the charter of the Town of Stowe,M-3,Government & Public Affairs
H.517,2013,3/18/13,An act relating to approval of the adoption and the codification of the charter of the Town of St. Albans,M-3,Government & Public Affairs
H.887,2016,4/26/16,An act relating to approval of amendments to the charter of the Village of Barton,M-23,Government & Public Affairs
H.886,2016,4/12/16,An act relating to approval of amendments to the charter of the Town of Brattleboro,M-22,Government & Public Affairs
H.885,2016,4/12/16,An act relating to approval of amendments to the charter of the Town of Shelburne,M-21,Government & Public Affairs
H.884,2016,4/7/16,An act relating to approval of amendments to the charter of the City of Barre,M-20,Government & Public Affairs
H.881,2014,3/21/14,An act relating to approval of the adoption and the codification of the charter of the Town of Westford,M-20,Government & Public Affairs
H.8,2011,1/11/11,An act relating to approval of amendments to and codification of the charter of the town of Jamaica,M-2,Government & Public Affairs
H.10,2015,1/13/15,An act relating to approval of amendments to the charter of the Town of Barre,M-2,Government & Public Affairs
H.527,2013,3/25/13,An act relating to approval of the adoption and the codification of the charter of the Town of Northfield,M-2,Government & Public Affairs
H.327,2017,2/21/17,An act relating to the charter of the Northeast Kingdom Solid Waste Management District,M-2,Government & Public Affairs
H.894,2014,4/17/14,An act relating to approval of amendments to the charter of the City of Montpelier and to merging the Montpelier Fire District No. 1 into the City of Montpelier,M-19,Government & Public Affairs
H.883,2016,4/5/16,An act relating to approval of amendments to the charter of the City of Winooski,M-19,Government & Public Affairs
H.716,2018,1/25/18,An act relating to approval of the adoption of the charter of the Edward Farrar Utility District and the merger of the Village of Waterbury into the District,M-19,Government & Public Affairs
H.882,2016,3/29/16,An act relating to approval of amendments to the charter of the City of Burlington,M-18,Government & Public Affairs
H.927,2018,4/13/18,An act relating to approval of amendments to the charter of the City of Montpelier,M-18,Government & Public Affairs
H.786,2012,3/28/12,An act relating to approval of amendments to the charter of the town of Windsor and to an amendment to the charter of the North Bennington graded school district,M-18,Government & Public Affairs
H.893,2014,4/11/14,An act relating to approval of the adoption and the codification of the charter of the North Branch Fire District No. 1,M-18,Government & Public Affairs
H.926,2018,4/5/18,An act relating to approval of amendments to the charter of the Town of Colchester,M-17,Government & Public Affairs
H.788,2012,4/3/12,An act relating to approval of amendments to the charter of the town of Richmond,M-17,Government & Public Affairs
H.881,2016,3/29/16,An act relating to approval of the adoption and codification of the charter of the Town of Charlotte,M-17,Government & Public Affairs
H.892,2014,4/10/14,An act relating to approval of the adoption and the codification of the charter of the Central Vermont Public Safety Authority,M-17,Government & Public Affairs
H.925,2018,3/28/18,An act relating to approval of amendments to the charter of the City of Barre,M-16,Government & Public Affairs
H.790,2012,4/5/12,An act relating to approval of amendments to the charter of the town of Hartford,M-16,Government & Public Affairs
H.880,2016,3/29/16,An act relating to approval of the adoption and codification of the charter of the Town of Bridport,M-16,Government & Public Affairs
H.870,2014,3/12/14,An act relating to the merger of the Town of Pittsford and the Pittsford Fire District No. 1,M-16,Government & Public Affairs
H.890,2014,4/2/14,An act relating to approval of amendments to the charter of the City of Burlington regarding the redistricting of City election areas,M-15,Government & Public Affairs
H.787,2012,3/29/12,An act relating to approval of amendments to the charter of the city of Montpelier,M-15,Government & Public Affairs
H.871,2016,3/17/16,An act relating to approval of amendments to the charter of the City of Montpelier,M-15,Government & Public Affairs
H.573,2018,1/5/18,An act relating to approval of an amendment to the charter of the City of Rutland,M-15,Government & Public Affairs
H.568,2018,1/5/18,An act relating to approval of amendments to the charter of the Town of Barre,M-14,Government & Public Affairs
H.888,2014,3/26/14,An act relating to approval of amendments to the charter of the Town of Milton,M-14,Government & Public Affairs
H.519,2016,1/7/16,An act relating to approval of the adoption and codification of the charter of the Town of Brandon,M-14,Government & Public Affairs
H.784,2012,3/23/12,An act relating to approval of the adoption and codification of the charter of the town of Williamstown,M-14,Government & Public Affairs
H.505,2015,4/29/15,An act relating to approval of amendments to the charter of the Village of North Bennington,M-13,Government & Public Affairs
H.793,2012,4/12/12,An act relating to approval of amendments to the charter of the Winooski incorporated school district,M-13,Government & Public Affairs
H.552,2018,1/3/18,An act relating to approval of the adoption and codification of the charter of the Town of Ferrisburgh,M-13,Government & Public Affairs
H.887,2014,3/26/14,An act relating to approval of the adoption and the codification of the charter of the Town of East Montpelier,M-13,Government & Public Affairs
H.792,2012,4/12/12,An act relating to approval of amendments to the charter of the city of Burlington,M-12,Government & Public Affairs
H.527,2017,4/11/17,An act relating to approval of amendments to the charter of the Town of East Montpelier and to the merger of the Town and the East Montpelier Fire District No. 1,M-12,Government & Public Affairs
H.508,2015,5/1/15,An act relating to approval of amendments to the charter of the Town of Middlebury,M-12,Government & Public Affairs
H.886,2014,3/26/14,An act relating to approval of the adoption and the codification of the charter of the Town of Panton,M-12,Government & Public Affairs
H.484,2012,1/5/12,An act relating to amendment to the Windham solid waste district charter,M-11,Government & Public Affairs
H.718,2014,1/28/14,An act relating to approval of amendments to the charter of the Village of Derby Line,M-11,Government & Public Affairs
H.534,2017,4/13/17,An act relating to approval of the adoption and codification of the charter of the Town of Calais,M-11,Government & Public Affairs
H.499,2015,4/8/15,An act relating to approval of the adoption and codification of the charter of the Town of Salisbury,M-11,Government & Public Affairs
H.529,2017,4/12/17,An act relating to approval of amendments to the charter of the City of Barre,M-10,Government & Public Affairs
H.459,2011,4/27/11,An act relating to approval of amendments to the charter of the town of Brattleboro,M-10,Government & Public Affairs
H.497,2015,4/3/15,An act relating to approval of amendments to the charter of the Town of Colchester,M-10,Government & Public Affairs
H.593,2014,1/14/14,An act relating to the Winooski School District Charter's term of office for the District Treasurer,M-10,Government & Public Affairs
H.15,2015,1/13/15,An act relating to approval of amendments to the charter of the Town of Colchester,M-1,Government & Public Affairs
H.529,2013,3/26/13,An act relating to approval of an amendment to the charter of the Winooski Incorporated School District related to the term of district treasurer,M-1,Government & Public Affairs
H.81,2011,1/20/11,An act relating to approval of the adoption and codification of the charters of the town of Danville and the Danville school district,M-1,Government & Public Affairs
H.241,2017,2/14/17,An act relating to the charter of the Central Vermont Solid Waste Management District,M-1,Environment
S.262,2018,1/3/18,An act relating to miscellaneous changes to the Medicaid program and the Department of Vermont Health Access,210,Health Care
S.287,2018,1/3/18,"An act relating to aquatic nuisance control, Act 250 corrective actions, and beverage container redemption",209,Environment
S.285,2018,1/3/18,An act relating to universal recycling requirements,208,Environment
S.280,2018,1/3/18,An act relating to the Advisory Council on Child Poverty and Strengthening Families,207,Children & Youth
S.272,2018,1/3/18,An act relating to miscellaneous changes to laws related to motor vehicles,206,?
S.269,2018,1/3/18,An act relating to blockchain business development,205,Telecommunications
S.261,2018,1/3/18,An act relating to ensuring a coordinated public health approach to addressing childhood adversity and promoting resilience,204,Children & Youth
S.244,2018,1/3/18,An act relating to extending the repeal date for the guidelines for spousal maintenance awards,203,?
S.299,2014,1/7/14,An act relating to sampler flights,202,?
S.241,2018,1/3/18,An act relating to the makeup and duties of the Emergency Medical Services Advisory Committee,202,Health Care
S.234,2018,1/3/18,"An act relating to adjudicating all teenagers in the Family Division, except those charged with a serious violent felony",201,Children & Youth
S.237,2014,1/7/14,An act relating to civil forfeiture proceedings in cases of animal cruelty,201,Environment
S.221,2014,1/7/14,An act relating to providing statutory purposes for tax expenditures,200,?
S.203,2018,1/3/18,An act relating to systemic improvements of the mental health system,200,Health Care
S.220,2014,1/7/14,An act relating to furthering economic development,199,?
S.165,2018,1/3/18,An act relating to preemployment health screenings for hospital employees,199,Health Care
H.790,2014,1/31/14,"An act relating to Reach Up, Reach Ahead, and the Enhanced Child Care Services Subsidy Program",198,Children & Youth
S.101,2017,2/28/17,An act relating to the conduct of forestry operations,198,Environment
H.88,2013,1/25/13,An act relating to parental rights and responsibilities involving a child conceived as a result of a sexual assault,197,Children & Youth
S.94,2017,2/24/17,An act relating to promoting remote work,197,Labor Issues
S.308,2014,1/7/14,An act relating to regulating precious metal dealers,196,Environment
S.85,2017,2/16/17,An act relating to simplifying government for small businesses,196,?
S.29,2017,1/13/17,An act relating to decedents' estates,195,?
S.295,2014,1/7/14,"An act relating to pretrial services, risk assessments, and criminal justice programs",195,Civil & Criminal Justice
S.276,2018,1/3/18,An act relating to rural economic development,194,Agriculture
S.264,2014,1/7/14,An act relating to technical corrections to civil and criminal procedure statutes,194,Civil & Criminal Justice
S.184,2014,1/7/14,An act relating to law enforcement policies on eyewitness identification and bias-free policing and on recording of custodial interrogations in homicide and sexual assault cases,193,Civil & Criminal Justice
S.92,2017,2/22/17,An act relating to prescription drug price transparency and cost containment,193,Pharmaceuticals
S.287,2014,1/7/14,An act relating to involuntary treatment and medication,192,Health Care
S.179,2018,1/3/18,An act relating to offender and inmate records,192,Civil & Criminal Justice
H.928,2018,4/18/18,An act relating to compensation for certain State employees (Pay Act),191,Labor Issues
H.735,2014,1/28/14,An act relating to Executive Branch and Judiciary fees,191,Civil & Criminal Justice
H.923,2018,3/20/18,An act relating to capital construction and State bonding budget adjustment,190,Government & Public Affairs
H.297,2013,2/19/13,An act relating to Vermont telecommunications policy,190,Telecommunications
S.314,2014,1/7/14,An act relating to miscellaneous amendments to laws related to motor vehicles,189,?
H.919,2018,3/2/18,An act relating to workforce development,189,?
H.907,2018,3/1/18,An act relating to improving rental housing safety,188,Housing
S.239,2014,1/7/14,An act relating to the regulation of toxic substances,188,Environment
S.316,2014,1/9/14,An act relating to child care providers,187,Children & Youth
H.901,2018,2/23/18,An act relating to health information technology and health information exchange,187,Telecommunications
H.780,2018,1/31/18,"An act relating to portable rides at agricultural fairs, field days, and other similar events",186,Agriculture
S.293,2014,1/7/14,An act relating to reporting on population-level outcomes and indicators and on program-level performance measures,186,?
