scope,year,added,disposed,pending,temp order denied,temp order granted,final order denied,final order granted,total denied,total,pct final order granted,pct total denied,pct pending
statewide,2013,3476,3497,99,767,2718,1604,1114,2371,3584,0.31082589285714285,0.6615513392857143,0.027622767857142856
statewide,2014,3365,3330,143,782,2538,1446,1092,2228,3463,0.31533352584464336,0.6433727981518914,0.0412936760034652
statewide,2015,3208,3186,147,775,2394,1290,1104,2065,3316,0.33293124246079614,0.6227382388419783,0.044330518697225575
statewide,2016,3400,3390,151,873,2504,1351,1153,2224,3528,0.3268140589569161,0.6303854875283447,0.042800453514739226
statewide,2017,3125,3156,113,759,2386,1244,1142,2003,3258,0.3505217925107428,0.6147943523634132,0.03468385512584408
addison,2013,162,162,5,48,114,70,44,118,167,0.2634730538922156,0.7065868263473054,0.029940119760479042
addison,2014,141,143,4,40,103,53,50,93,147,0.3401360544217687,0.6326530612244898,0.027210884353741496
addison,2015,181,179,5,52,125,69,56,121,182,0.3076923076923077,0.6648351648351648,0.027472527472527472
addison,2016,187,188,3,48,140,68,72,116,191,0.3769633507853403,0.6073298429319371,0.015706806282722512
addison,2017,151,147,6,36,111,55,56,91,153,0.3660130718954248,0.5947712418300654,0.0392156862745098
bennington,2013,292,296,4,72,224,123,101,195,300,0.33666666666666667,0.65,0.013333333333333334
bennington,2014,298,289,13,63,226,107,119,170,302,0.39403973509933776,0.5629139072847682,0.04304635761589404
bennington,2015,269,273,10,37,235,105,130,142,282,0.46099290780141844,0.5035460992907801,0.03546099290780142
bennington,2016,282,281,11,58,221,119,102,177,290,0.35172413793103446,0.6103448275862069,0.03793103448275862
bennington,2017,289,294,6,52,240,118,122,170,298,0.40939597315436244,0.5704697986577181,0.020134228187919462
caledonia,2013,186,188,6,60,126,52,74,112,192,0.3854166666666667,0.5833333333333334,0.03125
caledonia,2014,196,197,5,71,124,53,71,124,200,0.355,0.62,0.025
caledonia,2015,205,198,9,73,122,59,63,132,204,0.3088235294117647,0.6470588235294118,0.04411764705882353
caledonia,2016,174,178,3,74,103,61,42,135,180,0.23333333333333334,0.75,0.016666666666666666
caledonia,2017,166,167,2,26,140,93,47,119,168,0.27976190476190477,0.7083333333333334,0.011904761904761904
chittenden,2013,605,614,9,82,532,324,208,406,623,0.33386837881219905,0.651685393258427,0.014446227929373997
chittenden,2014,575,571,14,99,472,280,192,379,585,0.3282051282051282,0.6478632478632479,0.023931623931623933
chittenden,2015,530,526,16,64,460,272,188,336,540,0.34814814814814815,0.6222222222222222,0.02962962962962963
chittenden,2016,557,559,7,85,473,269,204,354,565,0.36106194690265486,0.6265486725663717,0.012389380530973451
chittenden,2017,581,572,21,57,515,303,212,360,593,0.357504215851602,0.6070826306913997,0.03541315345699832
essex,2013,38,40,1,1,39,28,11,29,41,0.2682926829268293,0.7073170731707317,0.024390243902439025
essex,2014,33,33,1,4,28,18,10,22,33,0.30303030303030304,0.6666666666666666,0.030303030303030304
essex,2015,37,37,0,2,35,26,9,28,37,0.24324324324324326,0.7567567567567568,0.0
essex,2016,32,32,2,1,31,22,9,23,34,0.2647058823529412,0.6764705882352942,0.058823529411764705
essex,2017,32,28,5,1,26,17,9,18,32,0.28125,0.5625,0.15625
franklin,2013,267,274,4,75,199,125,74,200,278,0.26618705035971224,0.7194244604316546,0.014388489208633094
franklin,2014,306,309,4,92,217,129,88,221,313,0.28115015974440893,0.7060702875399361,0.012779552715654952
franklin,2015,259,253,5,53,199,93,106,146,257,0.41245136186770426,0.5680933852140078,0.019455252918287938
franklin,2016,311,313,6,69,243,136,107,205,318,0.33647798742138363,0.6446540880503144,0.018867924528301886
franklin,2017,302,298,8,80,217,110,107,190,305,0.35081967213114756,0.6229508196721312,0.02622950819672131
grand isle,2013,23,21,2,6,15,9,6,15,23,0.2608695652173913,0.6521739130434783,0.08695652173913043
grand isle,2014,41,40,3,11,29,17,12,28,43,0.27906976744186046,0.6511627906976745,0.06976744186046512
grand isle,2015,32,33,2,8,25,14,11,22,35,0.3142857142857143,0.6285714285714286,0.05714285714285714
grand isle,2016,46,47,1,19,28,15,13,34,48,0.2708333333333333,0.7083333333333334,0.020833333333333332
grand isle,2017,34,33,2,9,23,8,15,17,34,0.4411764705882353,0.5,0.058823529411764705
lamoille,2013,180,175,10,63,109,66,43,129,182,0.23626373626373626,0.7087912087912088,0.054945054945054944
lamoille,2014,161,152,19,52,100,60,40,112,171,0.23391812865497075,0.6549707602339181,0.1111111111111111
lamoille,2015,112,123,7,34,88,61,27,95,129,0.20930232558139536,0.7364341085271318,0.05426356589147287
lamoille,2016,130,131,6,39,92,46,46,85,137,0.3357664233576642,0.6204379562043796,0.043795620437956206
lamoille,2017,132,133,5,30,103,54,49,84,138,0.35507246376811596,0.6086956521739131,0.036231884057971016
orange,2013,130,130,5,38,91,55,36,93,134,0.26865671641791045,0.6940298507462687,0.03731343283582089
orange,2014,133,131,7,20,110,50,60,70,137,0.43795620437956206,0.5109489051094891,0.051094890510948905
orange,2015,127,129,6,20,109,52,57,72,135,0.4222222222222222,0.5333333333333333,0.044444444444444446
orange,2016,154,149,9,34,114,52,62,86,157,0.39490445859872614,0.5477707006369427,0.05732484076433121
orange,2017,112,105,13,27,78,39,39,66,118,0.3305084745762712,0.559322033898305,0.11016949152542373
orleans,2013,166,164,4,12,151,90,61,102,167,0.3652694610778443,0.6107784431137725,0.023952095808383235
orleans,2014,177,174,8,9,162,111,51,120,179,0.2849162011173184,0.6703910614525139,0.0446927374301676
orleans,2015,180,178,6,10,167,93,74,103,183,0.40437158469945356,0.5628415300546448,0.03278688524590164
orleans,2016,187,189,8,10,178,121,57,131,196,0.29081632653061223,0.6683673469387755,0.04081632653061224
orleans,2017,178,185,2,17,168,80,88,97,187,0.47058823529411764,0.5187165775401069,0.0106951871657754
rutland,2013,585,576,27,57,516,350,166,407,600,0.27666666666666667,0.6783333333333333,0.045
rutland,2014,530,523,35,107,416,257,159,364,558,0.2849462365591398,0.6523297491039427,0.06272401433691756
rutland,2015,469,455,51,134,319,179,140,313,504,0.2777777777777778,0.621031746031746,0.10119047619047619
rutland,2016,538,529,57,158,370,156,214,314,585,0.3658119658119658,0.5367521367521367,0.09743589743589744
rutland,2017,410,456,6,145,309,121,188,266,460,0.40869565217391307,0.5782608695652174,0.013043478260869565
washington,2013,316,314,12,81,231,125,106,206,324,0.3271604938271605,0.6358024691358025,0.037037037037037035
washington,2014,317,310,22,66,244,146,98,212,332,0.29518072289156627,0.6385542168674698,0.06626506024096386
washington,2015,312,322,8,119,202,124,78,243,329,0.23708206686930092,0.7386018237082067,0.0243161094224924
washington,2016,336,322,21,107,213,144,69,251,341,0.20234604105571846,0.7360703812316716,0.06158357771260997
washington,2017,320,327,12,128,199,122,77,250,339,0.22713864306784662,0.7374631268436578,0.035398230088495575
windham,2013,218,224,3,100,124,56,68,156,227,0.29955947136563876,0.6872246696035242,0.013215859030837005
windham,2014,192,186,6,61,124,64,60,125,191,0.31413612565445026,0.6544502617801047,0.031413612565445025
windham,2015,232,227,11,93,134,56,78,149,238,0.3277310924369748,0.6260504201680672,0.046218487394957986
windham,2016,252,252,12,107,144,67,77,174,263,0.29277566539923955,0.6615969581749049,0.045627376425855515
windham,2017,217,213,16,79,134,53,81,132,229,0.3537117903930131,0.5764192139737991,0.06986899563318777
windsor,2013,308,319,7,72,247,131,116,203,326,0.3558282208588957,0.6226993865030674,0.02147239263803681
windsor,2014,265,272,2,87,183,101,82,188,272,0.3014705882352941,0.6911764705882353,0.007352941176470588
windsor,2015,263,253,11,76,174,87,87,163,261,0.3333333333333333,0.6245210727969349,0.0421455938697318
windsor,2016,214,220,5,64,154,75,79,139,223,0.3542600896860987,0.6233183856502242,0.02242152466367713
